"","Fraud","Fraud_times_30","Fraud_times_14","Fraud_times_7","Fraud_times_3","Fraud_times_1","Total_amount_card_7","Total_amount_card_14","Max_amount_card_30","Total_amount_card_3","Avg_amount_merch_3","Avg_amount_card_3","Max_amount_card_14","Avg_amount_card_30","Median_amount_card_3","Max_amount_card_3","Total_amount_card_30","Max_amount_card_7","Max_amount_merch_3","Total_amount_merch_7","Total_amount_merch_3"
"89392",0,0,0,0,0,0,0,0,1871.82,0,0,0,0,1241.39,0,0,2482.78,0,0,0,0
"89393",0,0,0,0,0,0,100.12,489.84,371.5,0,0,0,371.5,119.54,0,0,956.32,100.12,0,0,0
"89394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89395",0,0,0,0,0,0,420.72,420.72,653,0,0,0,298,268.43,0,0,1073.72,298,0,0,0
"89396",0,0,0,0,0,0,67.4,1282.4,990,67.4,0,67.4,900,298.4056,67.4,67.4,2685.65,67.4,0,0,0
"89397",0,0,0,0,0,0,0,0,974.77,0,0,0,0,974.77,0,0,974.77,0,0,0,0
"89398",0,0,0,0,0,0,300,900,2386.85,0,0,0,600,769.826,0,0,3849.13,300,0,0,0
"89399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"89400",0,0,0,0,0,0,3958.57,3991.57,2410.07,2969.72,0,1484.86,2410.07,472.3007,1484.86,2410.07,7084.51,2410.07,0,0,0
"89401",0,0,0,0,0,0,1205,5529,2410,0,0,0,2410,584.8571,0,0,8188,263,0,0,0
"89402",0,0,0,0,0,0,0,1.2,14.89,0,0,0,1.2,8.696667,0,0,26.09,0,0,722.44,0
"89403",0,0,0,0,0,0,359.44,724.44,1307.11,0,350.834,0,365,364.9355,0,0,4014.29,290,1452.7,3317.28,1754.17
"89404",0,0,0,0,0,0,0,0,286.01,0,0,0,0,286.01,0,0,286.01,0,0,0,0
"89405",0,0,0,0,0,0,0,0,451.68,0,0,0,0,232.18,0,0,464.36,0,0,0,0
